번호,방언,표준어,초성,등록일
323,(때를)에우다,(끼니를) 잇다,ㅇ,2017-01-16
328,여매방아,연자방아,ㅇ,2017-01-16
332,역부러,일부러,ㅇ,2017-01-16
335,영깽이,여우,ㅇ,2017-01-16
338,오랍뜰[오랍드리],마당앞이나 집주변,ㅇ,2017-01-16
344,왕거무,왕거미,ㅇ,2017-01-16
347,외보구래,쟁기,ㅇ,2017-01-16
350,웅굴 [웅클],우물,ㅇ,2017-01-16
353,원생이,원숭이,ㅇ,2017-01-16
356,은단,성게,ㅇ,2017-01-16
359,이시미,이무기,ㅇ,2017-01-16
362,자거품,쥐,ㅈ,2017-01-16
364,자우름,졸음,ㅈ,2017-01-16
367,잔다래,아이들이 소소하게 쓰는 돈,ㅈ,2017-01-16
373,장구카다,잠기다,ㅈ,2017-01-16
376,재간하다,저질레하다,ㅈ,2017-01-16
380,재피,산초,ㅈ,2017-01-16
382,점방[빵],상점,ㅈ,2017-01-16
385,제기다,(김치 따위를 소금에) 절이다,ㅈ,2017-01-16
391,줄구다,줄이다,ㅈ,2017-01-16
394,지럭지,길이,ㅈ,2017-01-16
397,지악,저녁,ㅈ,2017-01-16
399,진갈비,진눈개비,ㅈ,2017-01-16
403,질먹기,농촌에서 모내기등을 끝내고 일꾼등을 위로하여 음식을 장만하는 행위,ㅈ,2017-01-16
415,종곱질,소꼽장난,ㅈ,2017-01-16
418,촌말,사투리,ㅊ,2017-01-16
421,창지,창자,ㅊ,2017-01-16
423,춘천이여,그네뛸 때 지르는 소리,ㅊ,2017-01-16
430,튕기다,튀기다,ㅌ,2017-01-16
433,푸대,포대,ㅍ,2017-01-16
435,"하누[하늬, 하니]바람",서풍,ㅎ,2017-01-16
441,힌짐치,물김치,ㅎ,2017-01-16
444,함박꽃,철쭉,ㅎ,2017-01-16
191,바우,바위,ㅂ,2017-01-16
194,반짓끌,반짓그릇,ㅂ,2017-01-16
197,방꽁이,(방앗간) 공이,ㅂ,2017-01-16
201,버광지,아궁이,ㅂ,2017-01-16
204,벌거지,벌레,ㅂ,2017-01-16
207,베나락,볏날,ㅂ,2017-01-16
209,벵아리,병아리,ㅂ,2017-01-16
212,보리헤댕이,바다나물의 일종,ㅂ,2017-01-16
217,본새,본래,ㅂ,2017-01-16
220,부지깽이,곰배,ㅂ,2017-01-16
223,"불도디깨[불삽,불까래]",부삽,ㅂ,2017-01-16
228,빳지,딱지,ㅂ,2017-01-16
230,뻐꾸녕놓다,(남녀간)희롱하다,ㅂ,2017-01-16
235,삐끼지싸,벗겨졌어,ㅂ,2017-01-16
239,산들머리[산말랭이],산마루,ㅅ,2017-01-16
280,새[쇠]꿎다,(식물이)너무 자라 쇠다,ㅅ,2017-01-16
250,새치,이면수,ㅅ,2017-01-16
253,솔갈이(치다),거짓말(하다),ㅅ,2017-01-16
257,섭,홍합,ㅅ,2017-01-16
259,셋바닥,혀바닥,ㅅ,2017-01-16
262,소래기,고함,ㅅ,2017-01-16
265,송방,"가게,점포",ㅅ,2017-01-16
268,쇳대,열쇠,ㅅ,2017-01-16
274,시망,그물,ㅅ,2017-01-16
277,실실,살살,ㅅ,2017-01-16
279,새[쇠]꿎다,(소리가)크고 거칠다,ㅅ,2017-01-16
286,쌀박상,나만이,ㅅ,2017-01-16
294,아,아이,ㅇ,2017-01-16
296,아까맨치로,아까처럼,ㅇ,2017-01-16
300,아재,"고모, 이모, 당숙모등을 일컫는 친족어",ㅇ,2017-01-16
9,가래비쿨,그물(코),ㄱ,2017-01-16
